,title,release_date,poster,allocine_id,genre
218,30 ans sinon rien,2004-08-04,http://fr.web.img2.acsta.net/medias/nmedia/18/35/29/67/18380155.jpg,46340,Comédie
219,La Beuze,2003-02-05,http://fr.web.img2.acsta.net/medias/nmedia/00/02/56/63/affiche.jpg,48388,Comédie
221,Chloe,2010-03-10,http://fr.web.img6.acsta.net/medias/nmedia/18/73/85/43/19219894.jpg,116484,Drame
222,Le Marquis,2011-03-09,http://fr.web.img4.acsta.net/medias/nmedia/18/79/51/31/19660038.jpg,182276,Comédie
224,La Dame en noir,2012-03-14,http://fr.web.img4.acsta.net/medias/nmedia/18/87/39/46/20017909.jpg,183556,Thriller-Policier
227,Blanche-Neige et le chasseur,2012-06-13,http://fr.web.img1.acsta.net/medias/nmedia/18/85/34/52/20089538.jpg,187396,Action
229,A côté,2008-10-29,http://fr.web.img4.acsta.net/medias/nmedia/18/66/14/47/18979522.jpg,124164,Documentaire
232,Quatre étoiles,2006-05-03,http://fr.web.img5.acsta.net/medias/nmedia/18/36/17/44/18603380.jpg,60164,Comédie
233,Kurdish Lover,2012-09-12,http://fr.web.img5.acsta.net/medias/nmedia/18/92/23/21/20214044.jpg,192260,Documentaire
236,Nouveau Souffle,2012-03-14,http://fr.web.img3.acsta.net/medias/nmedia/18/88/66/81/19998834.jpg,193028,Drame
237,18 jours,2011-09-07,http://fr.web.img5.acsta.net/medias/nmedia/18/85/19/14/19801739.jpg,193284,Drame
238,L'Etat du monde,2008-02-20,http://fr.web.img6.acsta.net/medias/nmedia/18/65/69/57/18906740.jpg,128516,Drame
239,Orfeu negro,1959-06-01,http://fr.web.img4.acsta.net/pictures/16/01/21/09/50/443345.jpg,261,Drame
241,La Vache et le prisonnier,1959-12-16,http://fr.web.img1.acsta.net/medias/nmedia/18/65/52/69/18867731.jpg,3845,Comédie dramatique
242,Ginger & Rosa,2013-05-29,http://fr.web.img6.acsta.net/pictures/210/046/21004633_2013051011345659.jpg,201221,Drame
243,Papa vient dimanche,2013-10-02,http://fr.web.img2.acsta.net/pictures/210/469/21046938_20131004172755746.jpg,203269,Drame
244,Hot Shots!,1991-10-30,http://fr.web.img5.acsta.net/medias/nmedia/18/62/56/06/18922010.jpg,7173,Comédie
246,Beethoven 2,1993-12-15,http://fr.web.img6.acsta.net/medias/nmedia/18/65/06/31/19681810.jpg,8965,Comédie
247,Wadjda,2013-02-06,http://fr.web.img4.acsta.net/medias/nmedia/18/93/76/88/20401764.jpg,207621,Drame
248,Shooter tireur d'élite,2007-04-18,http://fr.web.img3.acsta.net/medias/nmedia/18/63/77/83/18750618.jpg,77317,Action
250,No Popcorn On The Floor,2009-04-29,http://fr.web.img6.acsta.net/medias/nmedia/18/69/81/46/19098240.jpg,144133,Documentaire
252,Chaque jour est une fête,2010-01-27,http://fr.web.img3.acsta.net/medias/nmedia/18/71/06/00/19216313.jpg,147461,Drame
254,Zookeeper,2011-08-17,http://fr.web.img2.acsta.net/medias/nmedia/18/81/98/03/19765666.jpg,86789,Comédie
255,Bob et les Sex-Pistaches,2013-04-24,http://fr.web.img3.acsta.net/medias/nmedia/18/97/02/88/20503659.jpg,218629,Comédie
258,"Final fantasy, les créatures de l'esprit",2001-08-15,http://fr.web.img4.acsta.net/medias/nmedia/00/02/18/04/69214649_af.jpg,26885,Animation
259,La prophétie des grenouilles,2003-12-03,http://fr.web.img3.acsta.net/medias/nmedia/18/35/13/66/18363016.jpg,28677,Animation
261,Ghost Rider,2007-02-21,http://fr.web.img1.acsta.net/medias/nmedia/18/35/23/95/18707057.jpg,28933,Action
264,Pour cent briques t'as plus rien...,1982-05-12,http://fr.web.img1.acsta.net/medias/nmedia/18/65/52/84/18868043.jpg,33285,Comédie
265,Manos Sucias,2015-06-03,http://fr.web.img6.acsta.net/pictures/15/02/06/18/30/488262.jpg,231429,Drame
266,Les Optimistes,2015-04-29,http://fr.web.img6.acsta.net/pictures/15/03/23/10/08/092880.jpg,233989,Documentaire
269,Ce que je veux de plus,2010-08-11,http://fr.web.img2.acsta.net/medias/nmedia/18/78/60/90/19479564.jpg,173829,Drame
270,Rocky Balboa,2007-01-24,http://fr.web.img1.acsta.net/medias/nmedia/18/36/21/60/18708488.jpg,109061,Drame
274,Un tigre parmi les singes,2011-09-14,http://fr.web.img4.acsta.net/medias/nmedia/18/84/54/08/19745808.jpg,184581,Drame
275,Capelito,2010-10-27,http://fr.web.img4.acsta.net/medias/nmedia/18/82/95/02/19648896.jpg,184837,Animation
276,Bridget Jones : l'âge de raison,2004-12-08,http://fr.web.img2.acsta.net/medias/nmedia/18/35/40/19/18388274.jpg,54021,Comédie
278,L'Homme aux poings de fer,2013-01-02,http://fr.web.img6.acsta.net/medias/nmedia/18/94/55/46/20337739.jpg,186373,Action
279,R,2014-01-15,http://fr.web.img6.acsta.net/pictures/13/12/12/14/38/584979.jpg,186885,Drame
280,La Taverne de l'enfer,1979-05-16,http://fr.web.img6.acsta.net/medias/nmedia/18/73/83/17/19217987.jpg,56069,Drame
281,Elizabeth : l'âge d'or,2007-12-12,http://fr.web.img4.acsta.net/medias/nmedia/18/64/66/10/18817443.jpg,57349,Drame
283,Modern Love,2008-03-12,http://fr.web.img5.acsta.net/medias/nmedia/18/64/20/02/18907108.jpg,124933,Comédie
284,13m²,2007-06-20,http://fr.web.img2.acsta.net/medias/nmedia/18/63/90/44/18775564.jpg,125701,Thriller-Policier
287,Le Diable s'habille en Prada,2006-09-27,http://fr.web.img5.acsta.net/medias/nmedia/18/36/20/41/18668315.jpg,61445,Comédie
288,La Fin du Silence,2011-12-07,http://fr.web.img4.acsta.net/medias/nmedia/18/84/17/47/19846183.jpg,193029,Drame
289,Ceci n’est pas un film,2011-09-28,http://fr.web.img3.acsta.net/medias/nmedia/18/84/36/39/19814581.jpg,193541,Documentaire
290,John-John,2008-02-27,http://fr.web.img2.acsta.net/medias/nmedia/18/64/40/82/18894393.jpg,128517,Drame
292,Loin de la terre brûlée,2009-03-11,http://fr.web.img3.acsta.net/medias/nmedia/18/67/27/64/19050548.jpg,130053,Drame
293,Fast and Furious 4,2009-04-08,http://fr.web.img5.acsta.net/medias/nmedia/18/66/78/23/19061074.jpg,131334,Action
296,La Petite Voleuse,1988-12-21,http://fr.web.img6.acsta.net/medias/nmedia/18/36/25/41/20279716.jpg,4358,Comédie dramatique
297,Dans ton sommeil,2010-03-24,http://fr.web.img5.acsta.net/medias/nmedia/18/74/07/86/19266943.jpg,137222,Thriller-Policier
300,Derniers jours à Jérusalem,2012-05-23,http://fr.web.img1.acsta.net/medias/nmedia/18/89/84/03/20069328.jpg,142086,Drame
301,Money Train,1996-01-17,http://fr.web.img4.acsta.net/medias/nmedia/18/35/49/58/18661108.jpg,13830,Action
302,Deux heures moins le quart avant Jésus-Christ,1982-10-06,http://fr.web.img6.acsta.net/medias/nmedia/18/35/15/14/19206615.jpg,16646,Comédie
304,Le Sens de l'humour,2014-02-26,http://fr.web.img2.acsta.net/pictures/14/01/09/15/44/171428.jpg,216582,Drame
305,Mère et fils,2014-01-15,http://fr.web.img4.acsta.net/pictures/210/595/21059557_20131120154553986.jpg,216838,Drame
306,Du goudron et des plumes,2014-07-09,http://fr.web.img6.acsta.net/pictures/14/05/20/17/54/201279.jpg,218630,Comédie dramatique
308,Blue Ruin,2014-07-09,http://fr.web.img3.acsta.net/pictures/14/04/22/17/12/311213.jpg,220934,Thriller-Policier
309,Ana Arabia,2014-08-06,http://fr.web.img4.acsta.net/pictures/14/05/23/16/12/265628.jpg,222982,Drame
310,Une histoire banale,2014-04-09,http://fr.web.img3.acsta.net/pictures/14/03/06/14/39/259411.jpg,225286,Drame
311,L'Ange des maudits,1953-04-03,http://fr.web.img3.acsta.net/medias/nmedia/18/35/77/97/19664000.jpg,29702,Drame
312,Mes voisins les Yamada,2001-04-04,http://fr.web.img5.acsta.net/medias/nmedia/00/02/24/04/69197748_af.jpg,29958,Animation
313,Red Army,2015-02-25,http://fr.web.img1.acsta.net/pictures/14/11/18/12/20/534408.jpg,227334,Documentaire
318,Rambo II : la mission,1985-10-16,http://fr.web.img5.acsta.net/medias/nmedia/18/36/04/20/18464994.jpg,34566,Action
320,Le voyage du directeur des ressources humaines,2010-12-15,http://fr.web.img4.acsta.net/medias/nmedia/18/82/02/46/19591279.jpg,173830,Drame
322,L'Argent des autres,1978-09-27,http://fr.web.img4.acsta.net/medias/nmedia/18/62/90/49/18658355.jpg,43270,Comédie dramatique
324,Les Diplômés du dernier rang,1982-08-18,http://fr.web.img1.acsta.net/medias/nmedia/18/36/15/76/20091361.jpg,47878,Comédie
326,Je suis un assassin,2004-08-11,http://fr.web.img5.acsta.net/medias/nmedia/18/35/29/84/18384935.jpg,54022,Thriller-Policier
327,Entre le ciel et l'enfer,1976-06-09,http://fr.web.img4.acsta.net/pictures/16/01/25/11/37/512346.jpg,54790,Drame
328,Come l'Ombra (Comme une ombre),2010-12-08,http://fr.web.img2.acsta.net/medias/nmedia/18/82/08/91/19598432.jpg,122118,Comédie dramatique
